CustomerID,LookalikeList
C0001,"[{'cust_id': 'C0113', 'score': 50}, {'cust_id': 'C0152', 'score': 50}, {'cust_id': 'C0085', 'score': 48.0}]"
C0002,"[{'cust_id': 'C0178', 'score': 52.9}, {'cust_id': 'C0134', 'score': 50}, {'cust_id': 'C0159', 'score': 47.7}]"
C0003,"[{'cust_id': 'C0004', 'score': 60}, {'cust_id': 'C0031', 'score': 58.2}, {'cust_id': 'C0133', 'score': 55}]"
C0004,"[{'cust_id': 'C0003', 'score': 60}, {'cust_id': 'C0102', 'score': 55}, {'cust_id': 'C0108', 'score': 55}]"
C0005,"[{'cust_id': 'C0055', 'score': 58.9}, {'cust_id': 'C0173', 'score': 55}, {'cust_id': 'C0007', 'score': 53.2}]"
C0006,"[{'cust_id': 'C0094', 'score': 57.3}, {'cust_id': 'C0010', 'score': 53.7}, {'cust_id': 'C0013', 'score': 53.0}]"
C0007,"[{'cust_id': 'C0005', 'score': 53.2}, {'cust_id': 'C0026', 'score': 50}, {'cust_id': 'C0045', 'score': 50}]"
C0008,"[{'cust_id': 'C0144', 'score': 67.7}, {'cust_id': 'C0088', 'score': 50}, {'cust_id': 'C0134', 'score': 48.9}]"
C0009,"[{'cust_id': 'C0156', 'score': 61.0}, {'cust_id': 'C0067', 'score': 51.2}, {'cust_id': 'C0066', 'score': 50.3}]"
C0010,"[{'cust_id': 'C0094', 'score': 58.6}, {'cust_id': 'C0046', 'score': 56.3}, {'cust_id': 'C0006', 'score': 53.7}]"
C0011,"[{'cust_id': 'C0107', 'score': 70}, {'cust_id': 'C0135', 'score': 60}, {'cust_id': 'C0022', 'score': 55}]"
C0012,"[{'cust_id': 'C0108', 'score': 55}, {'cust_id': 'C0137', 'score': 55}, {'cust_id': 'C0004', 'score': 50}]"
C0013,"[{'cust_id': 'C0040', 'score': 55.3}, {'cust_id': 'C0046', 'score': 55}, {'cust_id': 'C0039', 'score': 53.5}]"
C0014,"[{'cust_id': 'C0128', 'score': 50}, {'cust_id': 'C0159', 'score': 46.3}, {'cust_id': 'C0060', 'score': 42.6}]"
C0015,"[{'cust_id': 'C0160', 'score': 70}, {'cust_id': 'C0065', 'score': 58.1}, {'cust_id': 'C0036', 'score': 55}]"
C0016,"[{'cust_id': 'C0094', 'score': 55.2}, {'cust_id': 'C0046', 'score': 55}, {'cust_id': 'C0064', 'score': 55}]"
C0017,"[{'cust_id': 'C0028', 'score': 57.4}, {'cust_id': 'C0035', 'score': 55}, {'cust_id': 'C0087', 'score': 51.5}]"
C0018,"[{'cust_id': 'C0050', 'score': 60}, {'cust_id': 'C0114', 'score': 53.0}, {'cust_id': 'C0035', 'score': 51.9}]"
C0019,"[{'cust_id': 'C0064', 'score': 55.6}, {'cust_id': 'C0053', 'score': 54.8}, {'cust_id': 'C0057', 'score': 51.1}]"
C0020,"[{'cust_id': 'C0026', 'score': 60}, {'cust_id': 'C0050', 'score': 59.0}, {'cust_id': 'C0049', 'score': 53.7}]"
